methodology,title,citations,accuracy,date,proceeding,metric
EA-LSS,EA-LSS: Edge-aware Lift-splat-shot Framework for 3D BEV Object Detection,27,0.78,2023-03-16,,NDS
MegFusion,,2,0.77,2022-10-17,,NDS
MMFusion-e,,エラー,0.77,2022-11-21,,NDS
DeepInteraction-e,,エラー,0.76,2022-06-27,,NDS
BEVFusion-e,BEVFusion: Multi-Task Multi-Sensor Fusion with Unified Bird's-Eye View Representation,エラー,0.76,2022-06-03,,NDS
DeepInteraction-large,,141,0.76,2022-06-26,,NDS
RacoonPower,,0,0.76,2022-03-31,,NDS
MSMDFusion-TTA,,引用情報が見つかりません,0.75,2023-02-01,,NDS
FusionVPE,,3,0.75,2022-01-13,,NDS
DAA,,157,0.75,2022-03-17,,NDS
FocalFormer3D-F,FocalFormer3D : Focusing on Hard Instance for 3D Object Detection,60,0.75,2023-08-08,,NDS
CenterPoint-Fusion,,エラー,0.75,2021-05-25,,NDS
UniTR,UniTR: A Unified and Efficient Multi-Modal Transformer for Bird's-Eye-View Representation,エラー,0.75,2023-08-15,iccv-2023-1,NDS
ADS-TEAM,,エラー,0.75,2022-08-11,,NDS
MEFormer,Robust Multimodal 3D Object Detection via Modality-Agnostic Decoding and Proximity-based Modality Ensemble,エラー,0.74,2024-07-27,,NDS
SparseFusion,SparseFusion: Fusing Multi-Modal Sparse Representations for Multi-Sensor 3D Object Detection,203,0.74,2023-02-26,iccv-2023-1,NDS
Utrans-Fusion,,引用情報が見つかりません,0.74,2022-11-02,,NDS
YZLFusion,,196,0.74,2022-09-04,,NDS
ChangYuan,,1269,0.74,2023-03-02,,NDS
BEVFusion-base,,57,0.74,2022-10-08,,NDS
FocalFormer3D-TTA,FocalFormer3D : Focusing on Hard Instance for 3D Object Detection,8,0.74,2023-08-08,,NDS
PAI3D,PAI3D: Painting Adaptive Instance-Prior for 3D Object Detection,6,0.74,2021-12-29,,NDS
LargeKernel-F,,2,0.74,2022-06-16,,NDS
VXTR-tta,,引用情報が見つかりません,0.74,2022-11-18,,NDS
FocalSparseCNN,,258,0.74,2021-11-14,,NDS
test333,,0,0.73,2022-12-20,,NDS
SemanticBEVFusion,SemanticBEVFusion: Rethink LiDAR-Camera Fusion in Unified Bird's-Eye View Representation for 3D Object Detection,1,0.73,2022-11-07,,NDS
xpnet,,1,0.73,2023-03-02,,NDS
3D Dual-Fusion_T,3D Dual-Fusion: Dual-Domain Dual-Query Camera-LiDAR Fusion for 3D Object Detection,1,0.73,2022-11-18,,NDS
3D Dual-Fusion_T,,1,0.73,2023-02-13,,NDS
DeepInteraction-base,,141,0.73,2022-05-18,,NDS
yuhahad,,10,0.73,2022-12-14,,NDS
ADLab-BEVFusion-pure,,引用情報が見つかりません,0.73,2022-10-03,,NDS
Deeplearner,,157,0.73,2022-11-30,,NDS
MSMDFusion,MSMDFusion: Fusing LiDAR and Camera at Multiple Scales with Multi-Depth Seeds for 3D Object Detection,90,0.73,2022-08-10,cvpr-2023-1,NDS
