methodology,title,citations,accuracy,date,proceeding,metric
PointGST,Parameter-Efficient Fine-Tuning in Spectral Domain for Point Cloud Learning,1,95.3,2024-10-10,,Overall Accuracy
Mamba3D + Point-MAE,Mamba3D: Enhancing Local Features for 3D Point Cloud Analysis via State Space Model,19,95.1,2024-04-23,,Overall Accuracy
ReCon++,ShapeLLM: Universal 3D Object Understanding for Embodied Interaction,38,95.0,2024-02-27,,Overall Accuracy
PointGPT,PointGPT: Auto-regressively Generative Pre-training from Point Clouds,88,94.9,,neurips-2023-11,Overall Accuracy
point2vec,Point2Vec for Self-Supervised Representation Learning on Point Clouds,32,94.8,2023-03-01,,Overall Accuracy
ULIP + PointMLP,"ULIP: Learning a Unified Representation of Language, Images, and Point Clouds for 3D Understanding",232,94.7,2022-12-10,cvpr-2023-1,Overall Accuracy
ReCon,Contrast with Reconstruct: Contrastive 3D Representation Learning Guided by Generative Pretraining,121,94.7,2023-02-05,,Overall Accuracy
RepSurf-U,Surface Representation for Point Clouds,214,94.7,2022-03-01,cvpr-2022-1,Overall Accuracy
PointMLP+HyCoRe,Rethinking the compositionality of point clouds through regularization in the hyperbolic space,38,94.5,2022-09-21,,Overall Accuracy
PointMLP,Rethinking Network Design and Local Geometry in Point Cloud: A Simple Residual MLP Framework,695,94.5,2022-02-15,iclr-2022-4,Overall Accuracy
Point-FEMAE,Towards Compact 3D Representations via Point Feature Enhancement Masked Autoencoders,18,94.5,2023-12-17,,Overall Accuracy
PointNet2+PointCMT,Let Images Give You More:Point Cloud Cross-Modal Training for Shape Analysis,32,94.4,2022-10-09,,Overall Accuracy
IDPT,Instance-aware Dynamic Prompt Tuning for Pre-trained Point Cloud Models,41,94.4,2023-04-14,iccv-2023-1,Overall Accuracy
IAE + DGCNN,Implicit Autoencoder for Point-Cloud Self-Supervised Representation Learning,62,94.2,2022-01-03,iccv-2023-1,Overall Accuracy
PTv2,Point Transformer V2: Grouped Vector Attention and Partition-based Pooling,368,94.2,2022-10-11,,Overall Accuracy
